Campaign,Ad Group,Keyword,Match Type,Max CPC
GOOG_Search_EN_Competitors_US-UK-CA,Perpetua,perpetua amazon,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Perpetua,perpetua ppc,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Perpetua,perpetua software,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Perpetua,perpetua ads,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Perpetua,perpetua pricing,Phrase,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Perpetua,perpetua reviews,Phrase,3.50
GOOG_Search_EN_Competitors_US-UK-CA,Perpetua,perpetua alternative,Phrase,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Perpetua,sellics,Phrase,1.00
GOOG_Search_EN_Competitors_US-UK-CA,Perpetua,sellics alternative,Phrase,2.00
GOOG_Search_EN_Competitors_US-UK-CA,Perpetua,[perpetua alternative],Exact,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Perpetua,[perpetua alternatives],Exact,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Perpetua,[perpetua pricing],Exact,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Pacvue,pacvue,Phrase,2.00
GOOG_Search_EN_Competitors_US-UK-CA,Pacvue,pacvue pricing,Phrase,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Pacvue,pacvue reviews,Phrase,3.50
GOOG_Search_EN_Competitors_US-UK-CA,Pacvue,pacvue alternatives,Phrase,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Pacvue,pacvue amazon,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Pacvue,pacvue competitors,Phrase,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Pacvue,pacvue vs perpetua,Phrase,3.50
GOOG_Search_EN_Competitors_US-UK-CA,Pacvue,[pacvue alternatives],Exact,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Pacvue,[pacvue pricing],Exact,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Pacvue,[pacvue competitors],Exact,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Quartile,quartile amazon,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Quartile,quartile ppc,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Quartile,quartile reviews,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Quartile,quartile pricing,Phrase,3.50
GOOG_Search_EN_Competitors_US-UK-CA,Quartile,quartile alternatives,Phrase,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Quartile,quartile amazon reviews,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Quartile,[quartile alternatives],Exact,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Quartile,[quartile pricing],Exact,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Helium10-Adtomic,adtomic,Phrase,2.50
GOOG_Search_EN_Competitors_US-UK-CA,Helium10-Adtomic,helium 10 adtomic,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Helium10-Adtomic,adtomic review,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Helium10-Adtomic,adtomic pricing,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Helium10-Adtomic,helium 10 adtomic alternative,Phrase,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Helium10-Adtomic,helium 10 ads alternative,Phrase,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Helium10-Adtomic,helium 10 ads pricing,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Helium10-Adtomic,helium 10 ppc tool,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Helium10-Adtomic,[helium 10 adtomic alternative],Exact,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Helium10-Adtomic,[adtomic alternative],Exact,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Teikametrics,teikametrics,Phrase,2.50
GOOG_Search_EN_Competitors_US-UK-CA,Teikametrics,teikametrics pricing,Phrase,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Teikametrics,teikametrics reviews,Phrase,3.50
GOOG_Search_EN_Competitors_US-UK-CA,Teikametrics,teikametrics alternatives,Phrase,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Teikametrics,teikametrics vs perpetua,Phrase,3.50
GOOG_Search_EN_Competitors_US-UK-CA,Teikametrics,[teikametrics alternatives],Exact,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Teikametrics,[teikametrics pricing],Exact,4.00
GOOG_Search_EN_Competitors_US-UK-CA,Other-Tools,sellozo,Phrase,2.00
GOOG_Search_EN_Competitors_US-UK-CA,Other-Tools,sellozo reviews,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Other-Tools,sellozo pricing,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Other-Tools,sellozo alternatives,Phrase,3.50
GOOG_Search_EN_Competitors_US-UK-CA,Other-Tools,scale insights,Phrase,2.00
GOOG_Search_EN_Competitors_US-UK-CA,Other-Tools,scale insights review,Phrase,3.00
GOOG_Search_EN_Competitors_US-UK-CA,Other-Tools,intentwise,Phrase,2.00
GOOG_Search_EN_Competitors_US-UK-CA,Other-Tools,ad badger,Phrase,2.00
GOOG_Search_EN_Competitors_US-UK-CA,Other-Tools,ad badger reviews,Phrase,2.50
GOOG_Search_EN_Competitors_US-UK-CA,Other-Tools,m19 amazon,Phrase,1.50
GOOG_Search_EN_Competitors_US-UK-CA,Other-Tools,adspert,Phrase,1.50
GOOG_Search_EN_Competitors_US-UK-CA,Other-Tools,adspert alternative,Phrase,2.00
GOOG_Search_EN_Competitors_US-UK-CA,Other-Tools,[sellozo],Exact,2.50
GOOG_Search_EN_Competitors_US-UK-CA,Other-Tools,[scale insights],Exact,2.50
